Title,Year,Director,Studio,Genre
Mr Ya Miss,2005,Antara Mali,,Comedy
Mr Prime Minister,2005,Dev Anand,,Drama
Mumbai Xpress,2005,Singeetam Srinivasa Rao,,Comedy
Mumbai Godfather,2005,Deepak Balraj Vij,,Drama
My Brother... Nikhil,2005,Onir,,"Drama, Sport"
My Wife's Murder,2005,Jijy Philip,,"Drama, Thriller"
Naam Gum Jaayega,2005,Amol Shetge,,Romance
Naina,2005,Shripal Morakhia,,"Horror, Thriller"
Neal 'n' Nikki,2005,Arjun Sablok,,"Comedy, Romance"
Nigehbaan: The Third Eye,2005,Dilip Shankar,,Thriller
No Entry,2005,Anees Bazmee,,Comedy
Padmashree Laloo Prasad Yadav,2005,Mahesh Manjrekar,,Comedy
Page 3,2005,Madhur Bhandarkar,,"Drama "
Pehchaan: The Face of Truth,2005,Shrabani Deodhar,,Drama
Paheli,2005,Amol Palekar,,"Fantasy, Romance, Musical"
Parineeta,2005,Pradeep Sarkar,,Drama
Pyaar Mein Twist,2005,Hriday Shetty,,"Drama, Romance"
